  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Kugrua Test Well #1 
 85.04  -6.662
 85.34  -6.652
 85.65  -6.642
 85.95  -6.631
 86.26  -6.621
 86.56  -6.611
 86.87  -6.600
 87.17  -6.590
 87.48  -6.579
 87.78  -6.569
 88.09  -6.558
 88.39  -6.548
 88.70  -6.537
 89.00  -6.527
 89.31  -6.516
 89.61  -6.506
 89.92  -6.495
 90.22  -6.485
 90.53  -6.475
 90.83  -6.464
 91.14  -6.454
 91.44  -6.444
 91.74  -6.434
 92.05  -6.424
 92.35  -6.415
 92.66  -6.405
 92.96  -6.395
 93.27  -6.386
 93.57  -6.376
 93.88  -6.367
 94.18  -6.357
 94.49  -6.347
 94.79  -6.337
 95.10  -6.326
 95.40  -6.316
 95.71  -6.305
 96.01  -6.295
 96.32  -6.284
 96.62  -6.273
 96.93  -6.261
 97.23  -6.250
 97.54  -6.238
 97.84  -6.226
 98.15  -6.214
 98.45  -6.202
 98.76  -6.190
 99.06  -6.178
 99.36  -6.167
 99.67  -6.155
 99.97  -6.144
100.28  -6.132
100.58  -6.121
100.89  -6.110
101.19  -6.099
101.50  -6.088
101.80  -6.077
102.11  -6.066
102.41  -6.056
102.72  -6.045
103.02  -6.035
103.33  -6.024
103.63  -6.014
103.94  -6.003
104.24  -5.992
104.55  -5.981
104.85  -5.970
105.16  -5.958
105.46  -5.947
105.77  -5.935
106.07  -5.923
106.38  -5.911
106.68  -5.899
106.98  -5.887
107.29  -5.875
107.59  -5.862
107.90  -5.850
108.20  -5.837
108.51  -5.824
108.81  -5.812
109.12  -5.799
109.42  -5.786
109.73  -5.774
110.03  -5.761
110.34  -5.748
110.64  -5.736
110.95  -5.723
111.25  -5.710
111.56  -5.697
111.86  -5.683
112.17  -5.670
112.47  -5.657
112.78  -5.643
113.08  -5.630
113.39  -5.617
113.69  -5.603
114.00  -5.590
114.30  -5.577
114.60  -5.564
114.91  -5.551
115.21  -5.538
115.52  -5.525
115.82  -5.512
116.13  -5.499
116.43  -5.487
116.74  -5.474
117.04  -5.462
117.35  -5.450
117.65  -5.438
117.96  -5.426
118.26  -5.413
118.57  -5.401
118.87  -5.389
119.18  -5.376
119.48  -5.364
119.79  -5.352
120.09  -5.339
120.40  -5.327
120.70  -5.314
121.01  -5.301
121.31  -5.289
121.62  -5.276
121.92  -5.264
122.22  -5.251
122.53  -5.238
122.83  -5.226
123.14  -5.213
123.44  -5.200
123.75  -5.188
124.05  -5.175
124.36  -5.162
124.66  -5.150
124.97  -5.137
125.27  -5.124
125.58  -5.112
125.88  -5.099
126.19  -5.086
126.49  -5.073
126.80  -5.060
127.10  -5.047
127.41  -5.035
127.71  -5.022
128.02  -5.009
128.32  -4.996
128.63  -4.983
128.93  -4.970
129.24  -4.957
129.54  -4.945
129.84  -4.932
130.15  -4.919
130.45  -4.906
130.76  -4.893
131.06  -4.880
131.37  -4.867
131.67  -4.854
131.98  -4.840
132.28  -4.827
132.59  -4.814
132.89  -4.801
133.20  -4.788
133.50  -4.775
133.81  -4.762
134.11  -4.750
134.42  -4.737
134.72  -4.724
135.03  -4.711
135.33  -4.699
135.64  -4.687
135.94  -4.675
136.25  -4.663
136.55  -4.651
136.86  -4.639
137.16  -4.627
137.46  -4.615
137.77  -4.603
138.07  -4.591
138.38  -4.579
138.68  -4.566
138.99  -4.553
139.29  -4.540
139.60  -4.527
139.90  -4.514
140.21  -4.500
140.51  -4.486
140.82  -4.471
141.12  -4.457
141.43  -4.442
141.73  -4.426
142.04  -4.411
142.34  -4.396
142.65  -4.381
142.95  -4.366
143.26  -4.351
143.56  -4.337
143.87  -4.322
144.17  -4.308
144.48  -4.294
144.78  -4.280
145.08  -4.267
145.39  -4.253
145.69  -4.240
146.00  -4.227
146.30  -4.214
146.61  -4.202
146.91  -4.189
147.22  -4.177
147.52  -4.164
147.83  -4.152
