  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
 75.59  -8.944
 75.90  -8.940
 76.20  -8.937
 76.50  -8.933
 76.81  -8.929
 77.11  -8.926
 77.42  -8.922
 77.72  -8.919
 78.03  -8.915
 78.33  -8.912
 78.64  -8.908
 78.94  -8.904
 79.25  -8.901
 79.55  -8.897
 79.86  -8.893
 80.16  -8.889
 80.47  -8.885
 80.77  -8.881
 81.08  -8.877
 81.38  -8.874
 81.69  -8.870
 81.99  -8.866
 82.30  -8.862
 82.60  -8.858
 82.91  -8.854
 83.21  -8.849
 83.52  -8.845
 83.82  -8.841
 84.12  -8.837
 84.43  -8.832
 84.73  -8.828
 85.04  -8.824
 85.34  -8.819
 85.65  -8.815
 85.95  -8.810
 86.26  -8.805
 86.56  -8.800
 86.87  -8.795
 87.17  -8.790
 87.48  -8.784
 87.78  -8.779
 88.09  -8.774
 88.39  -8.768
 88.70  -8.763
 89.00  -8.758
 89.31  -8.753
 89.61  -8.748
 89.92  -8.743
 90.22  -8.738
 90.53  -8.733
 90.83  -8.728
 91.14  -8.723
 91.44  -8.719
 91.74  -8.714
 92.05  -8.710
 92.35  -8.705
 92.66  -8.701
 92.96  -8.696
 93.27  -8.692
 93.57  -8.687
 93.88  -8.682
 94.18  -8.677
 94.79  -8.667
 95.10  -8.662
 95.40  -8.656
 95.71  -8.651
 96.01  -8.645
 96.32  -8.639
 96.62  -8.633
 96.93  -8.627
 97.23  -8.621
 97.54  -8.615
 97.84  -8.609
 98.15  -8.602
 98.45  -8.596
 98.76  -8.589
 99.06  -8.583
 99.36  -8.576
 99.67  -8.569
 99.97  -8.563
100.28  -8.556
100.58  -8.549
100.89  -8.541
101.19  -8.534
101.50  -8.527
101.80  -8.519
102.11  -8.511
102.41  -8.504
102.72  -8.496
103.02  -8.488
103.33  -8.480
103.63  -8.472
103.94  -8.464
104.24  -8.456
104.55  -8.449
104.85  -8.441
105.16  -8.433
105.46  -8.425
105.77  -8.417
106.07  -8.409
106.38  -8.402
106.68  -8.394
106.98  -8.386
107.29  -8.379
107.59  -8.371
107.90  -8.363
108.20  -8.355
