  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Tulageak Test Well #1 
100.21  -8.070
100.52  -8.060
100.83  -8.050
101.14  -8.040
101.45  -8.029
101.76  -8.019
102.07  -8.008
102.39  -7.998
102.70  -7.987
103.01  -7.976
103.32  -7.966
103.63  -7.955
103.94  -7.944
104.25  -7.933
104.56  -7.922
104.87  -7.910
105.19  -7.899
105.50  -7.888
105.81  -7.876
106.12  -7.865
106.43  -7.853
106.74  -7.842
107.05  -7.830
107.36  -7.818
107.68  -7.807
107.99  -7.795
108.30  -7.783
108.61  -7.771
108.92  -7.759
109.23  -7.747
109.54  -7.735
109.85  -7.723
110.17  -7.711
110.48  -7.699
110.79  -7.686
111.10  -7.674
111.41  -7.662
111.72  -7.649
112.03  -7.637
112.34  -7.624
112.65  -7.612
114.52  -7.536
114.83  -7.524
115.14  -7.511
115.46  -7.498
115.77  -7.486
116.08  -7.473
116.39  -7.460
116.70  -7.448
117.01  -7.435
117.32  -7.422
117.63  -7.410
117.95  -7.397
118.26  -7.384
118.57  -7.372
118.88  -7.359
119.19  -7.346
119.50  -7.334
119.81  -7.321
120.12  -7.308
120.43  -7.295
120.75  -7.283
121.06  -7.270
121.37  -7.258
121.68  -7.245
121.99  -7.233
122.30  -7.220
122.61  -7.208
122.92  -7.196
123.24  -7.183
123.55  -7.171
123.86  -7.159
124.17  -7.147
124.48  -7.135
124.79  -7.123
125.10  -7.110
128.53  -6.974
128.84  -6.961
129.15  -6.949
129.46  -6.936
129.77  -6.923
130.08  -6.910
130.39  -6.897
130.70  -6.884
131.02  -6.871
131.33  -6.858
131.64  -6.844
131.95  -6.831
132.26  -6.818
132.57  -6.805
132.88  -6.791
133.19  -6.778
133.51  -6.764
133.82  -6.751
134.13  -6.737
134.44  -6.723
134.75  -6.709
135.06  -6.695
135.37  -6.681
135.68  -6.667
135.99  -6.653
136.31  -6.639
136.62  -6.624
136.93  -6.610
137.24  -6.595
137.55  -6.581
137.86  -6.566
138.17  -6.552
138.48  -6.537
138.80  -6.523
139.11  -6.508
139.42  -6.494
139.73  -6.479
140.04  -6.464
140.35  -6.450
140.66  -6.435
140.97  -6.420
141.29  -6.405
141.60  -6.390
141.91  -6.375
142.22  -6.360
142.53  -6.344
142.84  -6.329
143.15  -6.314
143.46  -6.299
143.77  -6.284
144.09  -6.269
144.40  -6.254
144.71  -6.239
145.02  -6.224
145.33  -6.209
145.64  -6.194
145.95  -6.179
146.26  -6.164
146.58  -6.149
146.89  -6.135
147.20  -6.121
147.51  -6.107
147.82  -6.093
148.13  -6.080
148.44  -6.066
148.75  -6.053
149.07  -6.040
149.38  -6.026
149.69  -6.013
150.00  -6.000
150.31  -5.986
150.62  -5.972
150.93  -5.959
151.24  -5.945
151.55  -5.931
151.87  -5.918
152.18  -5.904
152.49  -5.890
152.80  -5.876
153.11  -5.862
153.42  -5.847
153.73  -5.833
154.04  -5.818
154.36  -5.803
154.67  -5.788
156.53  -5.696
156.85  -5.681
157.16  -5.665
157.47  -5.650
157.78  -5.635
158.09  -5.619
158.40  -5.604
158.71  -5.588
159.02  -5.572
159.33  -5.557
159.65  -5.540
159.96  -5.524
160.27  -5.508
160.58  -5.491
160.89  -5.474
161.20  -5.457
161.51  -5.441
161.82  -5.424
162.14  -5.408
162.45  -5.391
162.76  -5.375
163.07  -5.358
163.38  -5.342
163.69  -5.325
164.00  -5.309
164.31  -5.293
164.63  -5.277
164.94  -5.261
165.25  -5.245
165.56  -5.230
165.87  -5.215
166.18  -5.200
166.49  -5.186
166.80  -5.172
167.11  -5.158
167.43  -5.144
167.74  -5.131
168.05  -5.118
168.36  -5.104
168.67  -5.091
168.98  -5.077
169.29  -5.064
169.60  -5.050
169.92  -5.037
170.23  -5.024
170.54  -5.011
170.85  -4.998
171.16  -4.984
171.47  -4.971
171.78  -4.958
172.09  -4.945
172.41  -4.931
172.72  -4.918
173.03  -4.904
173.34  -4.891
173.65  -4.877
173.96  -4.863
174.27  -4.850
174.58  -4.836
174.89  -4.823
175.21  -4.809
175.52  -4.796
175.83  -4.782
176.14  -4.769
176.45  -4.756
176.76  -4.742
177.07  -4.729
177.38  -4.716
177.70  -4.702
178.01  -4.689
178.32  -4.676
178.63  -4.663
178.94  -4.650
179.25  -4.637
179.56  -4.624
179.87  -4.612
180.19  -4.599
180.50  -4.586
180.81  -4.573
181.12  -4.560
181.43  -4.547
181.74  -4.533
182.05  -4.520
182.36  -4.507
182.67  -4.494
182.99  -4.481
183.30  -4.468
183.61  -4.454
183.92  -4.441
184.23  -4.427
184.54  -4.413
184.85  -4.398
185.16  -4.384
185.48  -4.369
185.79  -4.354
186.10  -4.339
186.41  -4.324
186.72  -4.309
187.03  -4.294
187.34  -4.279
187.65  -4.264
187.97  -4.250
188.28  -4.235
188.59  -4.221
188.90  -4.206
189.21  -4.192
189.52  -4.177
