  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Koluktak Test Well #1 
 37.80  -7.353
 38.10  -7.350
 38.40  -7.347
 38.71  -7.344
 39.01  -7.341
 39.32  -7.338
 39.62  -7.334
 39.93  -7.331
 40.23  -7.328
 40.54  -7.324
 40.84  -7.320
 41.15  -7.317
 41.45  -7.313
 41.76  -7.309
 42.06  -7.305
 42.37  -7.301
 42.67  -7.296
 42.98  -7.292
 43.28  -7.287
 43.59  -7.283
 43.89  -7.278
 44.20  -7.274
 44.50  -7.269
 44.81  -7.264
 45.11  -7.259
 45.42  -7.254
 45.72  -7.249
 46.02  -7.244
 46.33  -7.239
 46.63  -7.234
 46.94  -7.229
 47.24  -7.223
 47.55  -7.217
 47.85  -7.212
 48.16  -7.206
 48.46  -7.200
 48.77  -7.194
 49.07  -7.188
 49.38  -7.181
 49.68  -7.174
 49.99  -7.168
 50.29  -7.161
 50.60  -7.154
 50.90  -7.147
 51.21  -7.140
 51.51  -7.133
 51.82  -7.126
 52.12  -7.119
 52.43  -7.112
 52.73  -7.105
 53.04  -7.098
 53.34  -7.091
 53.64  -7.084
 53.95  -7.077
 54.25  -7.070
 54.56  -7.062
 54.86  -7.055
 55.17  -7.048
 55.47  -7.041
 55.78  -7.034
 56.08  -7.026
 56.39  -7.018
 56.69  -7.010
 57.00  -7.001
 57.30  -6.992
 57.61  -6.983
 57.91  -6.974
 58.22  -6.966
 58.52  -6.957
 58.83  -6.949
 59.13  -6.941
 59.44  -6.934
 59.74  -6.926
 60.05  -6.918
 60.35  -6.910
 60.66  -6.900
 60.96  -6.890
 61.26  -6.880
 61.57  -6.868
 61.87  -6.856
 62.18  -6.843
 62.48  -6.830
 62.79  -6.817
 63.09  -6.804
 63.40  -6.791
 63.70  -6.777
 64.01  -6.763
 64.31  -6.748
 64.62  -6.734
 64.92  -6.721
 65.23  -6.708
 65.53  -6.696
 65.84  -6.685
 66.14  -6.676
 66.45  -6.668
 66.75  -6.661
 67.06  -6.655
 67.36  -6.648
 67.67  -6.641
 67.97  -6.633
 68.28  -6.625
 68.58  -6.617
 68.88  -6.608
 69.19  -6.599
 69.49  -6.590
 69.80  -6.581
 70.10  -6.573
 70.41  -6.565
 70.71  -6.558
 71.02  -6.551
 71.32  -6.544
 71.63  -6.538
 71.93  -6.532
 72.24  -6.525
 72.54  -6.517
 72.85  -6.509
 73.15  -6.500
 73.46  -6.490
 73.76  -6.480
 74.07  -6.469
 74.37  -6.457
 74.68  -6.445
 74.98  -6.434
 75.29  -6.422
 75.59  -6.411
 75.90  -6.400
 76.20  -6.389
 76.50  -6.379
 77.11  -6.360
 77.42  -6.351
 77.72  -6.342
 78.03  -6.335
 78.33  -6.328
 78.64  -6.322
 78.94  -6.316
 79.25  -6.311
 79.55  -6.306
 79.86  -6.300
 80.16  -6.294
 80.47  -6.288
 80.77  -6.281
 81.08  -6.273
 81.38  -6.265
 81.69  -6.257
 81.99  -6.248
 82.30  -6.240
 82.60  -6.232
 82.91  -6.223
 83.21  -6.215
 83.52  -6.206
 83.82  -6.198
 84.12  -6.190
 84.43  -6.181
 84.73  -6.173
 85.04  -6.164
 85.34  -6.156
 85.65  -6.148
 85.95  -6.139
 86.26  -6.130
 86.56  -6.122
 86.87  -6.113
 87.17  -6.104
 87.48  -6.096
 87.78  -6.087
 88.09  -6.079
 88.39  -6.071
 88.70  -6.064
 89.00  -6.056
 89.31  -6.049
 89.61  -6.041
 89.92  -6.033
 90.22  -6.026
 90.53  -6.018
 90.83  -6.009
 91.14  -6.001
 91.44  -5.992
 91.74  -5.983
 92.05  -5.974
 92.35  -5.965
 92.66  -5.956
 92.96  -5.947
 93.27  -5.938
 93.57  -5.929
 93.88  -5.921
 94.18  -5.912
 94.49  -5.903
 94.79  -5.895
 95.10  -5.886
 95.40  -5.877
 95.71  -5.868
 96.01  -5.858
 96.32  -5.849
 96.62  -5.839
 96.93  -5.830
 97.23  -5.821
 97.54  -5.811
 97.84  -5.802
 98.15  -5.791
 98.45  -5.781
 99.06  -5.759
 99.36  -5.749
 99.67  -5.739
 99.97  -5.729
100.28  -5.720
100.58  -5.712
100.89  -5.703
101.19  -5.695
101.50  -5.687
101.80  -5.678
102.11  -5.669
102.41  -5.659
102.72  -5.649
103.02  -5.639
103.33  -5.628
103.63  -5.616
103.94  -5.605
104.24  -5.594
104.55  -5.582
104.85  -5.571
105.16  -5.560
105.46  -5.549
105.77  -5.538
106.07  -5.528
106.38  -5.518
106.68  -5.507
106.98  -5.497
107.29  -5.487
107.59  -5.477
107.90  -5.468
108.20  -5.458
108.51  -5.449
108.81  -5.440
109.12  -5.431
109.42  -5.421
109.73  -5.412
110.03  -5.403
110.34  -5.393
110.64  -5.384
110.95  -5.374
111.25  -5.364
111.56  -5.354
111.86  -5.344
112.17  -5.334
112.47  -5.323
112.78  -5.313
113.08  -5.302
113.39  -5.291
113.69  -5.281
114.00  -5.270
114.30  -5.259
114.60  -5.249
114.91  -5.238
115.21  -5.227
115.52  -5.216
115.82  -5.205
116.13  -5.194
116.43  -5.184
116.74  -5.174
117.04  -5.164
117.35  -5.154
117.65  -5.146
117.96  -5.137
118.26  -5.129
118.57  -5.120
118.87  -5.112
119.18  -5.103
119.48  -5.094
119.79  -5.084
120.09  -5.073
120.40  -5.061
120.70  -5.050
121.01  -5.037
121.31  -5.022
121.62  -5.007
121.92  -4.991
122.22  -4.978
122.53  -4.967
122.83  -4.957
123.14  -4.948
123.44  -4.939
