  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    24-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Atigaru Test Well #1 
551.38   8.027
551.69   8.043
551.99   8.059
552.30   8.075
552.60   8.091
552.91   8.107
553.21   8.123
553.52   8.139
553.82   8.155
554.13   8.171
554.43   8.187
554.74   8.203
555.04   8.218
555.35   8.234
555.65   8.250
555.96   8.265
556.26   8.281
556.57   8.296
556.87   8.312
557.18   8.327
557.48   8.342
557.78   8.356
558.09   8.371
558.39   8.385
558.70   8.400
559.00   8.414
559.31   8.428
559.61   8.443
559.92   8.457
560.22   8.471
560.53   8.486
560.83   8.500
561.14   8.515
561.44   8.529
561.75   8.543
562.05   8.558
562.36   8.572
562.66   8.586
562.97   8.601
563.27   8.615
563.58   8.630
563.88   8.645
564.19   8.659
564.49   8.674
564.80   8.689
565.10   8.704
565.40   8.719
565.71   8.734
566.01   8.749
566.32   8.763
566.62   8.778
566.93   8.793
567.23   8.808
567.54   8.823
567.84   8.837
568.15   8.852
568.45   8.867
568.76   8.882
569.06   8.897
569.37   8.913
569.67   8.928
569.98   8.943
570.28   8.959
570.59   8.974
570.89   8.990
571.20   9.005
571.50   9.021
571.81   9.036
572.11   9.052
572.42   9.067
572.72   9.083
573.02   9.098
573.33   9.114
573.63   9.129
573.94   9.144
574.24   9.160
574.55   9.175
574.85   9.190
575.16   9.205
575.46   9.220
575.77   9.235
576.07   9.250
576.38   9.264
576.68   9.279
576.99   9.293
577.29   9.307
577.60   9.322
577.90   9.336
578.21   9.350
578.51   9.365
578.82   9.379
579.12   9.393
579.43   9.408
579.73   9.422
580.04   9.436
580.34   9.450
580.64   9.465
580.95   9.479
581.25   9.494
581.56   9.508
581.86   9.523
582.17   9.537
582.47   9.552
582.78   9.567
583.08   9.582
583.39   9.597
583.69   9.612
584.00   9.626
584.30   9.641
584.61   9.656
584.91   9.670
585.22   9.685
585.52   9.700
585.83   9.714
589.18   9.868
589.48   9.881
589.79   9.894
590.09   9.908
590.40   9.921
590.70   9.935
591.01   9.948
591.31   9.962
591.62   9.975
591.92   9.988
592.23  10.002
592.53  10.015
592.84  10.029
593.14  10.042
593.45  10.056
593.75  10.069
594.06  10.083
594.36  10.097
594.67  10.110
594.97  10.124
595.28  10.138
595.58  10.152
595.88  10.166
596.19  10.180
596.49  10.194
596.80  10.208
597.10  10.221
597.41  10.235
597.71  10.249
598.02  10.262
598.32  10.276
598.63  10.289
598.93  10.303
599.24  10.317
599.54  10.330
599.85  10.344
600.15  10.357
600.46  10.371
600.76  10.384
601.07  10.398
601.37  10.411
601.68  10.425
601.98  10.438
602.29  10.452
602.59  10.465
602.90  10.478
603.20  10.491
603.50  10.504
603.81  10.518
604.11  10.531
604.42  10.544
604.72  10.557
605.03  10.570
605.33  10.582
605.64  10.595
605.94  10.608
606.25  10.620
606.55  10.632
606.86  10.644
607.16  10.656
607.47  10.669
607.77  10.680
608.08  10.692
608.38  10.703
608.69  10.714
608.99  10.726
609.30  10.739
609.60  10.754
