  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    28-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   South Harrison Test Well #1 
  File name:   SOH_84AUG08_c_d 
  Log date:    08-AUG-1984 
  
Contact Information: 
 45.72  -9.267
 46.02  -9.261
 46.33  -9.256
 46.63  -9.251
 46.94  -9.246
 47.24  -9.241
 47.55  -9.236
 47.85  -9.231
 48.16  -9.226
 48.46  -9.221
 48.77  -9.216
 49.07  -9.212
 49.38  -9.207
 49.68  -9.203
 49.99  -9.198
 50.29  -9.194
 50.60  -9.190
 50.90  -9.186
 51.21  -9.182
 51.51  -9.178
 51.82  -9.174
 52.12  -9.170
 52.43  -9.166
 52.73  -9.162
 53.04  -9.159
 53.34  -9.155
 53.64  -9.151
 53.95  -9.147
 54.25  -9.144
 54.56  -9.140
 54.86  -9.137
 55.17  -9.133
 55.47  -9.130
 55.78  -9.127
 56.08  -9.124
 56.39  -9.120
 56.69  -9.117
 57.00  -9.114
 57.30  -9.111
 57.61  -9.108
 57.91  -9.105
 58.22  -9.102
 58.52  -9.099
 58.83  -9.095
 59.13  -9.092
 59.44  -9.089
 59.74  -9.087
 60.05  -9.084
 60.35  -9.081
 60.66  -9.078
 60.96  -9.075
 61.26  -9.072
 61.57  -9.069
 61.87  -9.066
 62.18  -9.063
 62.48  -9.060
 62.79  -9.056
 63.09  -9.053
 63.40  -9.050
 63.70  -9.047
 64.01  -9.044
 64.31  -9.041
 64.62  -9.037
 64.92  -9.034
 65.23  -9.031
 65.53  -9.028
 65.84  -9.025
 66.14  -9.021
 66.45  -9.018
 66.75  -9.015
 67.06  -9.012
 67.36  -9.008
 67.67  -9.005
 67.97  -9.002
 68.28  -8.999
 68.58  -8.995
 68.88  -8.992
 69.19  -8.989
 69.49  -8.986
 69.80  -8.982
 70.10  -8.979
 70.41  -8.975
 70.71  -8.972
 71.02  -8.969
 71.32  -8.965
 71.63  -8.962
 71.93  -8.958
 72.24  -8.955
 72.54  -8.951
 72.85  -8.948
 73.15  -8.944
 73.46  -8.940
 73.76  -8.937
 74.07  -8.933
 74.37  -8.929
 74.68  -8.925
 74.98  -8.921
 75.29  -8.917
 75.59  -8.913
 75.90  -8.909
 76.20  -8.905
 76.50  -8.901
 76.81  -8.897
 77.11  -8.893
 77.42  -8.888
 77.72  -8.884
 78.03  -8.880
 78.33  -8.876
 78.64  -8.872
 78.94  -8.867
 79.25  -8.863
 79.55  -8.859
 79.86  -8.855
 80.16  -8.851
 80.47  -8.846
 80.77  -8.842
 81.08  -8.838
 81.38  -8.834
 81.69  -8.830
 81.99  -8.826
 82.30  -8.821
 82.60  -8.817
 82.91  -8.813
 83.21  -8.809
 83.52  -8.804
 83.82  -8.800
 84.12  -8.795
 84.43  -8.791
 84.73  -8.786
 85.04  -8.782
 85.34  -8.777
 85.65  -8.773
 85.95  -8.768
 86.26  -8.763
 86.56  -8.759
 86.87  -8.754
 87.17  -8.749
 87.48  -8.744
 87.78  -8.739
 88.09  -8.734
 88.39  -8.729
 88.70  -8.724
 89.00  -8.719
 89.31  -8.714
 89.61  -8.709
 89.92  -8.703
 90.22  -8.698
 90.53  -8.693
 90.83  -8.687
 91.14  -8.682
 91.44  -8.676
 91.74  -8.671
 92.05  -8.665
 92.35  -8.660
 92.66  -8.654
 92.96  -8.648
 93.27  -8.643
 93.57  -8.637
 93.88  -8.631
 94.18  -8.625
 94.49  -8.619
 94.79  -8.613
 95.10  -8.607
 95.40  -8.601
 95.71  -8.595
 96.01  -8.589
 96.32  -8.583
 96.62  -8.576
 96.93  -8.570
 97.23  -8.563
 97.54  -8.557
 97.84  -8.550
 98.15  -8.543
 98.45  -8.536
 98.76  -8.529
 99.06  -8.522
 99.36  -8.515
 99.67  -8.507
 99.97  -8.500
100.28  -8.492
100.58  -8.485
100.89  -8.477
101.19  -8.469
101.50  -8.462
101.80  -8.454
102.11  -8.446
102.41  -8.438
102.72  -8.431
103.02  -8.423
103.33  -8.415
103.63  -8.407
103.94  -8.399
104.24  -8.391
104.55  -8.383
104.85  -8.375
105.16  -8.367
105.46  -8.359
105.77  -8.351
106.07  -8.342
106.38  -8.334
106.68  -8.326
106.98  -8.318
107.29  -8.310
107.59  -8.302
107.90  -8.293
108.20  -8.285
108.51  -8.277
108.81  -8.269
109.12  -8.260
109.42  -8.252
109.73  -8.244
110.03  -8.236
110.34  -8.228
110.64  -8.220
110.95  -8.211
111.25  -8.203
111.56  -8.195
111.86  -8.188
112.17  -8.180
112.47  -8.172
112.78  -8.164
113.08  -8.156
113.39  -8.148
113.69  -8.140
114.00  -8.132
114.30  -8.124
114.60  -8.116
114.91  -8.109
115.21  -8.101
115.52  -8.093
115.82  -8.085
116.13  -8.077
116.43  -8.069
116.74  -8.061
117.04  -8.053
117.35  -8.046
117.65  -8.038
117.96  -8.030
118.26  -8.022
