  
  DOI/GTN-P Deep Borehole Array, Arctic Alaska 
             U.S. Geological Survey 
            Processed Temperature Log 
                    26-Aug-2013 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   Drew Point Test Well #1 
 85.95  -8.171
 86.26  -8.163
 86.56  -8.155
 86.87  -8.147
 87.17  -8.139
 87.48  -8.131
 87.78  -8.123
 88.09  -8.114
 88.39  -8.105
 88.70  -8.097
 89.00  -8.088
 89.31  -8.079
 89.61  -8.070
 89.92  -8.060
 90.22  -8.051
 90.53  -8.041
 90.83  -8.032
 91.14  -8.022
 92.35  -7.982
 92.66  -7.972
 92.96  -7.962
 93.27  -7.952
 93.57  -7.943
 93.88  -7.933
 94.18  -7.924
 94.49  -7.914
 94.79  -7.905
 95.10  -7.896
 95.40  -7.887
 95.71  -7.877
 96.01  -7.868
 96.32  -7.860
 96.62  -7.851
 96.93  -7.842
 97.23  -7.833
 97.54  -7.824
 97.84  -7.815
 98.15  -7.806
 98.45  -7.797
 98.76  -7.788
 99.06  -7.779
 99.36  -7.770
 99.67  -7.761
 99.97  -7.752
100.28  -7.743
100.58  -7.734
100.89  -7.726
101.19  -7.717
101.50  -7.708
101.80  -7.699
102.11  -7.690
102.41  -7.681
102.72  -7.672
103.02  -7.663
103.33  -7.654
103.63  -7.645
103.94  -7.635
104.24  -7.626
104.55  -7.616
104.85  -7.606
105.16  -7.596
105.46  -7.585
105.77  -7.574
106.07  -7.564
106.38  -7.553
106.68  -7.542
106.98  -7.532
107.29  -7.521
107.59  -7.511
107.90  -7.500
108.20  -7.490
108.51  -7.480
108.81  -7.470
109.12  -7.460
109.42  -7.450
109.73  -7.440
110.03  -7.431
110.34  -7.421
110.64  -7.412
110.95  -7.403
111.25  -7.394
111.56  -7.384
111.86  -7.375
112.17  -7.366
112.47  -7.356
112.78  -7.347
113.08  -7.337
113.39  -7.327
113.69  -7.317
114.00  -7.307
114.30  -7.297
114.60  -7.287
114.91  -7.277
115.21  -7.267
115.52  -7.257
115.82  -7.247
116.13  -7.236
116.43  -7.226
116.74  -7.216
117.04  -7.205
117.35  -7.195
117.65  -7.185
117.96  -7.175
118.26  -7.165
118.57  -7.154
118.87  -7.144
119.18  -7.134
119.48  -7.124
119.79  -7.114
120.09  -7.104
120.40  -7.093
120.70  -7.083
121.01  -7.073
121.31  -7.063
121.62  -7.053
121.92  -7.043
122.22  -7.032
122.53  -7.023
122.83  -7.013
123.14  -7.003
123.44  -6.993
123.75  -6.983
124.05  -6.973
124.36  -6.964
124.66  -6.954
124.97  -6.945
125.27  -6.935
125.58  -6.926
125.88  -6.917
126.19  -6.907
126.49  -6.898
126.80  -6.889
127.10  -6.879
127.41  -6.870
127.71  -6.860
128.02  -6.850
128.32  -6.841
128.63  -6.831
128.93  -6.822
129.24  -6.812
129.54  -6.802
129.84  -6.792
130.15  -6.783
130.45  -6.773
130.76  -6.763
131.06  -6.753
131.37  -6.743
131.67  -6.733
131.98  -6.723
132.28  -6.713
132.59  -6.703
132.89  -6.693
133.20  -6.683
133.50  -6.672
133.81  -6.662
134.11  -6.651
134.42  -6.640
134.72  -6.629
135.03  -6.618
135.33  -6.607
135.64  -6.596
135.94  -6.585
136.25  -6.573
136.55  -6.562
136.86  -6.552
137.16  -6.541
137.46  -6.530
137.77  -6.520
138.07  -6.509
138.38  -6.499
138.68  -6.488
138.99  -6.478
139.29  -6.468
139.60  -6.458
139.90  -6.448
140.21  -6.439
140.51  -6.429
140.82  -6.420
141.12  -6.410
141.43  -6.400
141.73  -6.391
142.04  -6.381
142.34  -6.371
142.65  -6.362
142.95  -6.352
143.26  -6.342
143.56  -6.333
143.87  -6.323
144.17  -6.314
144.48  -6.305
144.78  -6.296
145.08  -6.286
145.39  -6.277
145.69  -6.268
146.00  -6.259
146.30  -6.249
146.61  -6.240
146.91  -6.230
147.22  -6.221
147.52  -6.211
147.83  -6.201
148.13  -6.191
148.44  -6.181
148.74  -6.171
149.05  -6.160
149.35  -6.149
149.66  -6.138
149.96  -6.127
